Item ID,Name,Unit Size,PAR,Order Quantity
0419,VEGAN BURGER MEAT IMPOSSIBLE (20LB/CS),CASE,,0
2260,TURKEY BREAST RAW BNLS,LB,,0
4219,DELI TURKEY BRST SLICED,LB,,0
0584,PORK BUTT BNLS,LB,,0
0701,DELI PORK HAM SMKD BNLS FC,LB,,0
0709,CHIX WHIT/DARK DICED FC,LB,,0
3373,CHIX HALAL THIGH BNLS SKNLS,LB,,0
4995,CHIX BRST NAT FILET SKNLS GF 4OZ (15LB/CS),CASE,,0
0614,BEEF STK FLANK,LB,,0
, HTL CHIX BRST NAT FILET SKNLS 6OZ,LB,,0
4589,PORK SAUSAGE PATTY FC 2OZ,CASE,,0
0697,PORK BACON SLCD LAYOUT 18-22 CT,CASE,,0
2926,DELI PEPPERONI SLCD,LB,,0
0714,CHIX BRST TENDER BRD,CASE,,0
0713,CHIX BRST FILET BRD 4OZ,CASE,,0
3605,BEEF STK SANDWICH 5 OZ,CASE,,0
0554,CHIX BRST FILET BRD SLIDER,CASE,,0
WALK-IN FREEZER ,,,,0
4354,WRAP TORTILLA WHIT,CASE,,0
0501,VEG FZN CORN WHL KERNEL YELLOW (20LB/CASE),CASE,,0
4692,SAUCE PESTO,CASE,,0
3295,ROLL SUB WHIT THAW & SERVE,CASE,,0
0390,ROLL POTATO,CASE,,0
4832,PASTA FZN SHT REG 4OZ,CASE,,0
1045,PASTA - SPAETZLE / RIVELS (S/0),CASE,,0
1455,GUACOMOLE FZN MILD,CASE,,0
0313,CIABATTA ROLL 3.20Z,40/CASE,,0
4921,NAAN BREAD TANDOORI,48/CASE,,0
4511,BEV BASE FZN SMOOTHIE STRAWB/BAN,CASE,,0
4548,BEV BASE FZN SMOOTHIE MANGO,CASE,,0
4540,BEV BASE FZN SMOOTHIE CARIB,CASE,,0
4533,BEV BASE FZN SMOOTHIE BERRY,CASE,,0
0511,VEG FZN POT F/F/ PATTY (HASHBROWN),120CS,,0
3552,BAGEL - WHOLE WHEAT,CASE,,0
3599,BAGEL - PLAIN,CASE,,0
3571,BAGEL - EVERYTHING,CASE,,0
3522,BAGEL - CINN RAISIN,CASE,,0
3585,BAGEL - BLUEBERRY,CASE,,0
2151,BKY CS COOKIE CCHIP 3.125,36/CS,,0
2881,BKY CS PACK BROOKIE,CASE,,0
1192,BISCUIT BUTTERMILK LG FZN,CASE,,0
2040,BKY CS ICED BROWN,CASE,,0
0582,JUICE LIME FROZEN,QT,,0
WALK-IN ,,,,0
1568,TIKKA PASTE ,LB,,0
0010,CHEESE PANEER (USSO),LB,,0
1941,PICKLE KOSHER DILL SPEAR,PAIL,,0
1486,CHEESE SWISS SLCD,LB,,0
2283,CHEESE ROMANO GRATED IMPROTED ,LB,,0
0984,CHEESE PROV SLCD,LB,,0
4798,CHEESE PIZZA BLND PROV-MOZZ,LB,,0
1302,CHEESE PEPPER JACK SLCD,LB,,0
0328,CHEESE PARM SHRD,LB,,0
0578,CHEESE FETA,LB,,0
0464,CHEESE DOMESTIC GRATED,LB,,0
4940,CHEESE CHEDDAR SHRD,LB,,0
0457,CHEESE CHEDDAR COLORED ,LB,,0
3719,CHEESE AMERICAN SHARP WHITE,LB,,0
0021,CHEESE CHED WHIT/JACK SHRD,LB,,0
4042,CHEESE BLEU CRUMBLED,LB,,0
